name,taxonomy,imageURL,details,temprange,details,phRange,tank size,fish size (cm/inches),fish compatibility,detailsUrl
"Leopard sailfin pleco, clown sailfin pleco",Pterygoplichthys gibbiceps,https://upload.wikimedia.org//wikipedia/commons/3/35/Sailfin-pleco.jpg,"The Leopard Sailfin Pleco is famous for its stunning honey-comb pattern and an enormous, sail-like dorsal fin that it can raise at will. Like the Common Pleco, they require a large environment of at least 100 to 125 gallons due to their potential size of 18 inches. They are compatible with most large community fish and are excellent algae eaters when young. Important remarks include their need for large hiding spots and the fact that they are prolific waste producers, requiring high-capacity filtration systems.",23-29 degrees celsius,"The Leopard Sailfin Pleco is famous for its stunning honey-comb pattern and an enormous, sail-like dorsal fin that it can raise at will. Like the Common Pleco, they require a large environment of at least 100 to 125 gallons due to their potential size of 18 inches. They are compatible with most large community fish and are excellent algae eaters when young. Important remarks include their need for large hiding spots and the fact that they are prolific waste producers, requiring high-capacity filtration systems.",6.5 - 8.0,100 – 150 gallons,"40.0-50.0 cm / 15.7-19.7""",Compatible with large semi-aggressive fish; they are active algae eaters that need significant swimming space.,
"Zebra pleco, L-046",Hypancistrus zebra,https://upload.wikimedia.org//wikipedia/commons/9/9c/Hypancistrus_zebra4305.jpg,"The Zebra Pleco is one of the most prized fish in the hobby, featuring a stark, beautiful pattern of high-contrast black and white stripes. Their care is specialized: they need a minimum of 20 to 30 gallons with very high oxygen levels and a strong current to mimic their native Xingu River rapids. They are compatible with small, peaceful dither fish that enjoy similar high-flow conditions but should not be housed with aggressive feeders. Key remarks include their preference for warmer water (26–30°C) and a mostly carnivorous diet of high-quality sinking pellets and frozen foods.
",26-30 degrees celsius,"The Zebra Pleco is one of the most prized fish in the hobby, featuring a stark, beautiful pattern of high-contrast black and white stripes. Their care is specialized: they need a minimum of 20 to 30 gallons with very high oxygen levels and a strong current to mimic their native Xingu River rapids. They are compatible with small, peaceful dither fish that enjoy similar high-flow conditions but should not be housed with aggressive feeders. Key remarks include their preference for warmer water (26?30?C) and a mostly carnivorous diet of high-quality sinking pellets and frozen foods.
",6.0 - 7.5,20 – 30 gallons,"8.0-10.0 cm / 3.1-3.9""","Compatible with small, peaceful fish like Tetras; they prefer high-oxygen, high-flow environments.",https://en.wikipedia.org//wiki/Hypancistrus_zebra
Sailfin catfish,Pterygoplichthys multiradiatus,https://upload.wikimedia.org//wikipedia/commons/0/03/Liposarcus_multiradiatus_01_ssj_20050321.jpg,"The Sailfin Catfish is a large, predatory species distinguished by its exceptionally long barbels and a high, pointed dorsal fin. Because they can grow to over 2 feet in length, they require massive aquariums of 200 to 300 gallons or indoor ponds. They are compatible only with other very large, robust fish that cannot be swallowed. Notable remarks include their nocturnal nature and their role as opportunistic predators; they will eat any tank mate that fits into their mouth.",23-28 degrees celsius,"The Sailfin Catfish is a large, predatory species distinguished by its exceptionally long barbels and a high, pointed dorsal fin. Because they can grow to over 2 feet in length, they require massive aquariums of 200 to 300 gallons or indoor ponds. They are compatible only with other very large, robust fish that cannot be swallowed. Notable remarks include their nocturnal nature and their role as opportunistic predators; they will eat any tank mate that fits into their mouth.",6.5 - 8.0,100 – 150 gallons,"20.0-30.0 cm / 7.9-11.8""","Compatible with larger, active community fish; they are peaceful but grow much larger than dwarf plecos.",
"Golden dwarf sucker, golden oto",Macrotocinclus affinis,https://upload.wikimedia.org//wikipedia/commons/e/e4/Otocinclus_affinis.JPG,"The Golden Oto is a tiny, peaceful algae specialist known for its schooling behavior and translucent, golden hue. Their care involves a minimum of 10 to 20 gallons in a mature, well-planted aquarium with plenty of natural algae growth. They are highly compatible with other nano-fish and shrimp but are very sensitive to water quality and fluctuations. Important remarks include the need to keep them in groups of six or more and the necessity of supplementing their diet with blanched vegetables if the tank is too clean.",21-27 degrees celsius,"The Golden Oto is a tiny, peaceful algae specialist known for its schooling behavior and translucent, golden hue. Their care involves a minimum of 10 to 20 gallons in a mature, well-planted aquarium with plenty of natural algae growth. They are highly compatible with other nano-fish and shrimp but are very sensitive to water quality and fluctuations. Important remarks include the need to keep them in groups of six or more and the necessity of supplementing their diet with blanched vegetables if the tank is too clean.",6.0 - 7.5,10 – 20 gallons,"3.5-4.5 cm / 1.4-1.8""","Compatible with tiny Nano fish and shrimp; they are very peaceful and thrive in established, planted tanks.",https://en.wikipedia.org//wiki/Macrotocinclus_affinis
"Zebra dwarf sucker, zebra oto",Otocinclus cocama,https://upload.wikimedia.org//wikipedia/commons/a/ad/Otocinclus_cocama.jpg,"The Zebra Oto is a rare and beautiful variant of the common Otocinclus, featuring distinct black and white vertical banding. Proper care requires a minimum of 15 to 20 gallons and, unlike the common Oto, they are significantly more sensitive to water parameters and oxygen levels. They are compatible with other peaceful nano-fish. Key remarks include their need for a high-quality diet of specialized algae wafers and the presence of live plants, which provide both food and security.",21-25 degrees celsius,"The Zebra Oto is a rare and beautiful variant of the common Otocinclus, featuring distinct black and white vertical banding. Proper care requires a minimum of 15 to 20 gallons and, unlike the common Oto, they are significantly more sensitive to water parameters and oxygen levels. They are compatible with other peaceful nano-fish. Key remarks include their need for a high-quality diet of specialized algae wafers and the presence of live plants, which provide both food and security.",6.0 - 7.5,15 – 20 gallons,"3.5-4.5 cm / 1.4-1.8""","Compatible with small schooling fish; like their golden cousins, they are very social and non-aggressive.",https://en.wikipedia.org//wiki/Otocinclus_cocama
Bolt catfish,Aguarunichthys torosus,,"The Bolt Catfish is a sleek, predatory catfish from the Amazon, named for the lightning-like speed with which it strikes at food. They require a minimum of 75 to 100 gallons and a setup with plenty of hiding places and a strong current. They are compatible with other large, fast-moving fish but are highly predatory toward smaller tank mates. Notable remarks include their requirement for high-protein meaty foods and their tendency to be territorial as they mature.",22-27 degrees celsius,"The Bolt Catfish is a sleek, predatory catfish from the Amazon, named for the lightning-like speed with which it strikes at food. They require a minimum of 75 to 100 gallons and a setup with plenty of hiding places and a strong current. They are compatible with other large, fast-moving fish but are highly predatory toward smaller tank mates. Notable remarks include their requirement for high-protein meaty foods and their tendency to be territorial as they mature.",6.0 - 7.5,55 – 75 gallons,"30.0-50.0 cm / 11.8-19.7""",Compatible with medium-sized active fish; they are predatory towards very small fish but peaceful with larger ones.,
Gold Zebra catfish,Brachyplatystoma juruense,,"The Gold Zebra Catfish is a slender, bottom-dwelling species with a beautiful gold-and-black striped pattern and long fin filaments. For successful care, they need at least 30 to 40 gallons with a soft sand substrate, as they spend much of their time partially buried. They are peaceful and compatible with most community fish. Important remarks include their shy nature; they appreciate plenty of leaf litter and driftwood to feel secure.",22-28 degrees celsius,"The Gold Zebra Catfish is a slender, bottom-dwelling species with a beautiful gold-and-black striped pattern and long fin filaments. For successful care, they need at least 30 to 40 gallons with a soft sand substrate, as they spend much of their time partially buried. They are peaceful and compatible with most community fish. Important remarks include their shy nature; they appreciate plenty of leaf litter and driftwood to feel secure.",6.0 - 7.5,30 – 40 gallons,"15.0-25.0 cm / 5.9-9.8""",Compatible with other small L-number plecos; they are peaceful and enjoy hiding in rocky crevices.,
Zebra shovelnose,Brachyplatystoma tigrinum,,"The Zebra Shovelnose is a large, high-end predatory catfish featuring a flattened snout and striking vertical stripes. Because they can reach lengths of nearly 2 feet, they require a minimum of 180 to 250 gallons. They are compatible only with other large, non-aggressive giants like Arowanas or large Rays. Key remarks include their need for pristine water conditions and a diet of high-quality fish fillets and whole shrimp.",22-29 degrees celsius,"The Zebra Shovelnose is a large, high-end predatory catfish featuring a flattened snout and striking vertical stripes. Because they can reach lengths of nearly 2 feet, they require a minimum of 180 to 250 gallons. They are compatible only with other large, non-aggressive giants like Arowanas or large Rays. Key remarks include their need for pristine water conditions and a diet of high-quality fish fillets and whole shrimp.",6.0 - 7.5,180 – 300+ gallons,"40.0-60.0 cm / 15.7-23.6""","Predatory: Best kept with very large, robust fish; they will eat anything that fits in their mouth.",
"Vulture Catfish, zamurito",Calophysus macropterus ,https://upload.wikimedia.org//wikipedia/commons/3/3c/Pimelodidae_Callophysus_macropterus.jpg,"The Vulture Catfish is an active, silver-colored predator known for its aggressive feeding habits and ""vulture-like"" tendency to scavenge on large carcasses in the wild. They require at least 125 gallons and should be kept with caution, as they are known to nip the fins of larger tank mates. They are compatible with large, fast-moving fish that can defend themselves. Notable remarks include their extremely high activity level and the need for a tightly fitting lid, as they are powerful jumpers.",22-28 degrees celsius,"The Vulture Catfish is an active, silver-colored predator known for its aggressive feeding habits and ""vulture-like"" tendency to scavenge on large carcasses in the wild. They require at least 125 gallons and should be kept with caution, as they are known to nip the fins of larger tank mates. They are compatible with large, fast-moving fish that can defend themselves. Notable remarks include their extremely high activity level and the need for a tightly fitting lid, as they are powerful jumpers.",6.0 - 7.5,125 – 180 gallons,"40.0-50.0 cm / 15.7-19.7""","Aggressive Scavenger: Best kept with large, fast-moving fish; they are known to nip at the sides of slower tankmates.",
Redtail catfish,Phractocephalus hemioliopterus,https://upload.wikimedia.org//wikipedia/commons/d/df/Phractocephalus_hemioliopterus2.JPG,"The Redtail Catfish is a legendary ""tank buster"" known for its massive size, white belly, and vibrant red tail fin. They grow incredibly fast and can reach up to 4 or 5 feet in length, meaning they are not suitable for almost any standard home aquarium and require 1,000+ gallon ponds. They are compatible only with other massive giants. A vital remark is that they are extremely predatory and will attempt to eat anything—including decorations or equipment—that can fit in their cavernous mouths.",20-26 degrees celsius,"The Redtail Catfish is a legendary ""tank buster"" known for its massive size, white belly, and vibrant red tail fin. They grow incredibly fast and can reach up to 4 or 5 feet in length, meaning they are not suitable for almost any standard home aquarium and require 1,000+ gallon ponds. They are compatible only with other massive giants. A vital remark is that they are extremely predatory and will attempt to eat anything?including decorations or equipment?that can fit in their cavernous mouths.",6.0 - 7.5,500 - 1000 gallons,"100.0-130.0 cm / 39.4-51.2""",Monster Fish Only: Do not keep with standard community fish; they grow several feet long and are top-tier predators.,https://en.wikipedia.org//wiki/Phractocephalus_hemioliopterus
"Spotted pimelodus, pictus, pictus catfish",Pimelodus pictus,https://upload.wikimedia.org//wikipedia/commons/1/1d/Pimelodus_pictus.jpg,"The Pictus Catfish is a highly active, silver scavenger covered in distinct black spots and featuring long, white barbels. For proper care, they require a minimum of 55 gallons and a long tank to accommodate their constant swimming. They are compatible with medium-sized community fish but will eat very small fish like Neon Tetras. Important remarks include their sharp, venomous pectoral spines; you should never use a mesh net to move them, as they will get stuck and can deliver a painful sting.",22-25 degrees celsius,"The Pictus Catfish is a highly active, silver scavenger covered in distinct black spots and featuring long, white barbels. For proper care, they require a minimum of 55 gallons and a long tank to accommodate their constant swimming. They are compatible with medium-sized community fish but will eat very small fish like Neon Tetras. Important remarks include their sharp, venomous pectoral spines; you should never use a mesh net to move them, as they will get stuck and can deliver a painful sting.",6.0 - 7.5,50 – 75 gallons,"10.0-12.0 cm / 3.9-4.7""","Compatible with active, medium-sized fish like Giant Danios; they are very energetic and can stress out slow fish.",
Ornate Pimelodus,Pimelodus ornatus,,"The Ornate Pimelodus is a more premium relative of the Pictus, featuring bold horizontal black stripes and a larger adult size. They require at least 75 to 90 gallons and an environment with high oxygen and a strong current. They are compatible with medium-to-large community fish. Key remarks include their nocturnal activity; they are much more active and visible when the lights are dimmed.",22-26 degrees celsius,"The Ornate Pimelodus is a more premium relative of the Pictus, featuring bold horizontal black stripes and a larger adult size. They require at least 75 to 90 gallons and an environment with high oxygen and a strong current. They are compatible with medium-to-large community fish. Key remarks include their nocturnal activity; they are much more active and visible when the lights are dimmed.",6.0 - 7.5,55 – 75 gallons,"20.0-25.0 cm / 7.9-9.8""",Compatible with large Cichlids; they are bold scavengers that are quite hardy and active.,
Sturgeon catfish,Platystomatichthys sturio,,"The Sturgeon Catfish is a unique species with a very long, pointed snout and an elongated body that mimics the look of a sturgeon. They require a minimum of 150 to 200 gallons with a large, open sandy area and high water flow. They are compatible with other large, peaceful riverine fish. Notable remarks include their sensitivity to poor water quality and their requirement for a diet of high-quality sinking pellets and frozen meaty foods.",22-27 degrees celsius,"The Sturgeon Catfish is a unique species with a very long, pointed snout and an elongated body that mimics the look of a sturgeon. They require a minimum of 150 to 200 gallons with a large, open sandy area and high water flow. They are compatible with other large, peaceful riverine fish. Notable remarks include their sensitivity to poor water quality and their requirement for a diet of high-quality sinking pellets and frozen meaty foods.",6.5 - 7.5,150 – 250 gallons,"20.0-30.0 cm / 7.9-11.8""","Compatible with peaceful, cool-water fish; they have a unique appearance and are very non-aggressive.",https://en.wikipedia.org//wiki/Platystomatichthys_sturio
Barred sorubim,Pseudoplatystoma fasciatum,,"The Barred and Tiger Sorubims are massive ""shovelnose"" predators with flattened heads and intricate striped or barred patterns. Because they can reach 3 feet or more, they require 300+ gallon aquariums or ponds. They are compatible only with other massive species. Important remarks include their role as ambush predators; they need low-light areas and a high-protein diet to thrive.",24–28 degrees celsius,"The Barred and Tiger Sorubims are massive ""shovelnose"" predators with flattened heads and intricate striped or barred patterns. Because they can reach 3 feet or more, they require 300+ gallon aquariums or ponds. They are compatible only with other massive species. Important remarks include their role as ambush predators; they need low-light areas and a high-protein diet to thrive.",6.5 - 7.5,180 – 300 gallons,"40.0-50.0 cm / 15.7-19.7""","Compatible with other ""monster"" fish; they are predatory but generally peaceful toward fish they cannot swallow.",
Tiger sorubim,Pseudoplatystoma tigrinum,https://upload.wikimedia.org//wikipedia/commons/f/f9/Pseudoplatystoma_tigrinum1.jpg,"The Barred and Tiger Sorubims are massive ""shovelnose"" predators with flattened heads and intricate striped or barred patterns. Because they can reach 3 feet or more, they require 300+ gallon aquariums or ponds. They are compatible only with other massive species. Important remarks include their role as ambush predators; they need low-light areas and a high-protein diet to thrive.",24–28 degrees celsius,"The Barred and Tiger Sorubims are massive ""shovelnose"" predators with flattened heads and intricate striped or barred patterns. Because they can reach 3 feet or more, they require 300+ gallon aquariums or ponds. They are compatible only with other massive species. Important remarks include their role as ambush predators; they need low-light areas and a high-protein diet to thrive.",6.5 - 7.5,250 – 500+ gallons,"60.0-80.0 cm / 23.6-31.5""",Compatible with large South American fish; they are nocturnal hunters and need plenty of floor space.,
"Firewood catfish, (planiceps) shovelnose catfish",Sorubimichthys planiceps,https://upload.wikimedia.org//wikipedia/commons/e/e8/Firewood_catfish.jpg,"The Firewood Catfish is a specialized, long-bodied predator with a distinctively flattened head. For proper care, they require a minimum of 180 to 250 gallons because they reach sizes of nearly 2 feet and need ample floor space to swim. They are compatible with other massive, non-aggressive species like larger Arowanas, but they will readily consume any fish that fits in their mouth. Key remarks for their maintenance include the need for moderate water flow and high-protein meals such as fish fillets or whole shrimp to keep them healthy.",24–28 degrees celsius,"The Firewood Catfish is a specialized, long-bodied predator with a distinctively flattened head. For proper care, they require a minimum of 180 to 250 gallons because they reach sizes of nearly 2 feet and need ample floor space to swim. They are compatible with other massive, non-aggressive species like larger Arowanas, but they will readily consume any fish that fits in their mouth. Key remarks for their maintenance include the need for moderate water flow and high-protein meals such as fish fillets or whole shrimp to keep them healthy.",6.0 - 7.5,180 – 300 gallons,"50.0-70.0 cm / 19.7-27.6""",Compatible with large Oscar fish; they grow very long and require massive tanks with high filtration.,https://en.wikipedia.org//wiki/Sorubimichthys_planiceps
Lima shovelnose catfish,Sorubium lima,https://upload.wikimedia.org//wikipedia/commons/8/89/Silure_spatule.jpg,"The Lima Shovelnose is one of the more ""manageable"" large catfish, known for its sleek silver body and its habit of resting vertically against driftwood or plants. Their care involves a minimum of 75 to 125 gallons, as they are active swimmers and reach about 15 inches in length. They are compatible with medium-to-large community fish like Silver Dollars or Oscar cichlids. A notable remark for this species is their preference for low-light environments and a diet of sinking carnivore pellets and frozen silversides.",22–26 degrees celsius,"The Lima Shovelnose is one of the more ""manageable"" large catfish, known for its sleek silver body and its habit of resting vertically against driftwood or plants. Their care involves a minimum of 75 to 125 gallons, as they are active swimmers and reach about 15 inches in length. They are compatible with medium-to-large community fish like Silver Dollars or Oscar cichlids. A notable remark for this species is their preference for low-light environments and a diet of sinking carnivore pellets and frozen silversides.",6.0 - 7.5,75 – 125 gallons,"30.0-45.0 cm / 11.8-17.7""","Compatible with large, non-aggressive tankmates; they are shy predators that prefer sandy substrates.",
Cuckoo squeaker,Synodontis multipunctatus,https://upload.wikimedia.org//wikipedia/commons/d/de/Synodontis-multipunctatus.jpg,"The Cuckoo Squeaker is a famous African species known for its brood parasitism, often tricking mouth-brooding cichlids into raising its young. For proper care, they require at least 30 to 55 gallons and water with a higher pH and hardness to match their native Rift Lake environment. They are highly compatible with African Cichlids, as they can hold their own against aggressive tank mates. Key remarks include their social nature; they should be kept in groups to reduce stress and encourage natural behavior.",24–28 degrees celsius,"The Cuckoo Squeaker is a famous African species known for its brood parasitism, often tricking mouth-brooding cichlids into raising its young. For proper care, they require at least 30 to 55 gallons and water with a higher pH and hardness to match their native Rift Lake environment. They are highly compatible with African Cichlids, as they can hold their own against aggressive tank mates. Key remarks include their social nature; they should be kept in groups to reduce stress and encourage natural behavior.",7.5 - 8.5,30 – 55 gallons,"10.0-15.0 cm / 3.9-5.9""","Compatible with African Cichlids; they are ""brood parasites"" and behave best in a busy, active environment.",
Decorated squeaker,Synodontis decorus,,"The Decorated Squeaker is prized for its attractive spotted pattern and an exceptionally long filament on its dorsal fin. Their care involves a minimum of 55 gallons and plenty of rocky caves or driftwood crevices where they can hide during the day. They are compatible with a wide range of medium-sized African community fish. Important remarks include their nocturnal habits and the fact that they can reach a size of nearly 10 inches, requiring a well-filtered aquarium.",22–26 degrees celsius,"The Decorated Squeaker is prized for its attractive spotted pattern and an exceptionally long filament on its dorsal fin. Their care involves a minimum of 55 gallons and plenty of rocky caves or driftwood crevices where they can hide during the day. They are compatible with a wide range of medium-sized African community fish. Important remarks include their nocturnal habits and the fact that they can reach a size of nearly 10 inches, requiring a well-filtered aquarium.",6.0 - 7.5,30 – 55 gallons,"15.0-20.0 cm / 5.9-7.9""",Compatible with medium-sized community fish; they are peaceful but very active during feeding time.,
Even-Spotted squeaker,Synodontis petricola,https://upload.wikimedia.org//wikipedia/commons/8/8a/Synodontis_petricola.jpg,The Even-Spotted Squeaker is a hardy scavenger featuring a uniform pattern of small dark spots across its body. Proper care requires at least 30 to 50 gallons with plenty of hiding spots to satisfy their territorial nature. They are compatible with robust community fish and larger African species. A key remark for this fish is their opportunistic diet; they will readily accept everything from algae wafers to high-protein sinking pellets.,22–27 degrees celsius,The Even-Spotted Squeaker is a hardy scavenger featuring a uniform pattern of small dark spots across its body. Proper care requires at least 30 to 50 gallons with plenty of hiding spots to satisfy their territorial nature. They are compatible with robust community fish and larger African species. A key remark for this fish is their opportunistic diet; they will readily accept everything from algae wafers to high-protein sinking pellets.,6.5 - 7.5,30 – 55 gallons,"15.0-20.0 cm / 5.9-7.9""",Compatible with larger Tetra species; they are social scavengers that appreciate hiding spots.,
Featherfin squeaker,Synodontis eupterus,https://upload.wikimedia.org//wikipedia/commons/7/7c/Synodontis_Eupterus_3.JPG,"The Featherfin Squeaker is easily identified by its magnificent, fan-like dorsal fin that develops long, feathery filaments as the fish matures. For successful care, they need a minimum of 50 gallons and a setup with several caves to prevent territorial disputes. They are compatible with many community fish but can be slightly ""bossy"" toward other bottom-dwellers. Notable remarks include their durability and their tendency to spend most of the daylight hours tucked away in a favorite hiding spot.",22–26 degrees celsius,"The Featherfin Squeaker is easily identified by its magnificent, fan-like dorsal fin that develops long, feathery filaments as the fish matures. For successful care, they need a minimum of 50 gallons and a setup with several caves to prevent territorial disputes. They are compatible with many community fish but can be slightly ""bossy"" toward other bottom-dwellers. Notable remarks include their durability and their tendency to spend most of the daylight hours tucked away in a favorite hiding spot.",6.0 - 7.5,55 – 75 gallons,"15.0-22.0 cm / 5.9-8.7""","Compatible with most community fish; they are famous for their ""fin-flicking"" behavior and are very peaceful.",https://en.wikipedia.org//wiki/Synodontis_eupterus
Lake Malawi syno,Synodontis njassae,https://upload.wikimedia.org//wikipedia/commons/9/9b/Synodontis_njassae_01_ssj_20050321.jpg,"The Lake Malawi Syno is the only Synodontis species endemic to its namesake lake, featuring a variable spotted pattern. Their care involves a minimum of 55 gallons and water parameters specific to Lake Malawi (high pH and mineral content). They are excellently compatible with Malawi Cichlids. Important remarks include their shy personality; providing plenty of rockwork will help them feel secure enough to venture out during feeding.",23–28 degrees celsius,"The Lake Malawi Syno is the only Synodontis species endemic to its namesake lake, featuring a variable spotted pattern. Their care involves a minimum of 55 gallons and water parameters specific to Lake Malawi (high pH and mineral content). They are excellently compatible with Malawi Cichlids. Important remarks include their shy personality; providing plenty of rockwork will help them feel secure enough to venture out during feeding.",7.5 - 8.5,50 – 75 gallons,"12.0-18.0 cm / 4.7-7.1""",Compatible with Rift Lake Cichlids; they can handle the high pH and aggression levels of African Cichlid tanks.,https://en.wikipedia.org//wiki/Synodontis_njassae
Polka dot syno,Synodontis angelicus,https://upload.wikimedia.org//wikipedia/commons/3/37/Synodontis_angelica.jpg,"The Polka Dot Syno is one of the most visually stunning members of the genus, featuring bright white or yellow spots against a dark, velvety purple or black body. Proper care requires a minimum of 55 gallons and very stable water conditions, as they can be more sensitive than other squeakers. They are compatible with medium-sized community fish but can be quite territorial toward other Synodontis. A key remark is their slower growth rate compared to other species in the family.",22–27 degrees celsius,"The Polka Dot Syno is one of the most visually stunning members of the genus, featuring bright white or yellow spots against a dark, velvety purple or black body. Proper care requires a minimum of 55 gallons and very stable water conditions, as they can be more sensitive than other squeakers. They are compatible with medium-sized community fish but can be quite territorial toward other Synodontis. A key remark is their slower growth rate compared to other species in the family.",6.0 - 7.5,50 – 75 gallons,"15.0-20.0 cm / 5.9-7.9""","Compatible with large, active fish; they are hardy scavengers that stay relatively peaceful as they age.",
"Common syno, false upside-down catfish",Synodontis nigrita,,"The Common Syno is often confused with the true upside-down catfish when young, but it grows much larger and eventually stops swimming inverted. For proper care, they require at least 55 gallons and a varied diet of sinking foods. They are compatible with larger community fish and semi-aggressive species. Notable remarks include their hardy nature and the fact that they often become much more secretive and nocturnal as they reach their adult size of about 7-8 inches.",22–27 degrees celsius,"The Common Syno is often confused with the true upside-down catfish when young, but it grows much larger and eventually stops swimming inverted. For proper care, they require at least 55 gallons and a varied diet of sinking foods. They are compatible with larger community fish and semi-aggressive species. Notable remarks include their hardy nature and the fact that they often become much more secretive and nocturnal as they reach their adult size of about 7-8 inches.",6.0 - 7.5,55 – 75 gallons,"15.0-20.0 cm / 5.9-7.9""",Compatible with most community fish; they are very social and should be kept in small groups.,
Upside-down catfish,Synodontis nigriventris,https://upload.wikimedia.org//wikipedia/commons/8/8d/Synodontis.jpg,"The true Upside-Down Catfish is a smaller species famous for its constant inverted swimming position used to graze on the underside of surfaces. Their care involves at least 20 gallons and a school of at least 3-5 fish to encourage social behavior. They are perfectly compatible with peaceful community fish like Tetras and Rasboras. Important remarks include their need for broad-leafed plants or driftwood that provide ""ceilings"" for them to swim against.",22–26 degrees celsius,"The true Upside-Down Catfish is a smaller species famous for its constant inverted swimming position used to graze on the underside of surfaces. Their care involves at least 20 gallons and a school of at least 3-5 fish to encourage social behavior. They are perfectly compatible with peaceful community fish like Tetras and Rasboras. Important remarks include their need for broad-leafed plants or driftwood that provide ""ceilings"" for them to swim against.",6.0 - 7.5,20 – 40 gallons,"8.0-10.0 cm / 3.1-3.9""",Compatible with almost any community fish; they are famous for swimming upside down and are very docile.,
Three-striped African catfish,Pareutropius buffei,,"The Three-Striped African Catfish is a sleek, active mid-water swimmer that resembles a shark in motion. Proper care requires at least 30 gallons and a school of six or more; keeping them in smaller numbers can lead to extreme shyness. They are highly compatible with peaceful community fish and enjoy a tank with moderate water flow. A key remark is that they are much more active during the day than most other catfish.",24–28 degrees celsius,"The Three-Striped African Catfish is a sleek, active mid-water swimmer that resembles a shark in motion. Proper care requires at least 30 gallons and a school of six or more; keeping them in smaller numbers can lead to extreme shyness. They are highly compatible with peaceful community fish and enjoy a tank with moderate water flow. A key remark is that they are much more active during the day than most other catfish.",6.5 - 7.5,30 – 55 gallons,"10.0-15.0 cm / 3.9-5.9""",Compatible with medium-sized African fish; they are peaceful but can be competitive for food at the bottom.,
Giraffe catfish,Auchenoglanis occidentalis,https://upload.wikimedia.org//wikipedia/commons/2/24/Auchenoglanis_occidentalis_01_by_Line1.JPG,"The Giraffe Catfish is a massive but gentle scavenger known for the reticulated pattern on its skin and its exceptionally long snout. Because they can reach up to 3 feet in length, they require a massive aquarium of 200+ gallons or a custom pond. They are compatible with large, peaceful tank mates. A critical remark is that they are ""sand-sifters"" and must have a smooth sand substrate to forage without damaging their delicate mouthparts.",21–25 degrees celsius,"The Giraffe Catfish is a massive but gentle scavenger known for the reticulated pattern on its skin and its exceptionally long snout. Because they can reach up to 3 feet in length, they require a massive aquarium of 200+ gallons or a custom pond. They are compatible with large, peaceful tank mates. A critical remark is that they are ""sand-sifters"" and must have a smooth sand substrate to forage without damaging their delicate mouthparts.",6.5 - 7.5,180 – 250+ gallons,"60.0-90.0 cm / 23.6-35.4""","Compatible with large, calm fish; they grow quite large and are very peaceful ""gentle giants"".",https://en.wikipedia.org//wiki/Auchenoglanis_occidentalis
Electric catfish,Malapterurus electricus,https://upload.wikimedia.org//wikipedia/commons/b/b5/Malapterurus_electricus_1.jpg,"The Electric Catfish is a specialized predator capable of delivering a strong electric shock to stun prey or defend itself. For proper care, they require a minimum of 55 to 100 gallons and are best kept in a species-only aquarium. They are generally not compatible with other fish, as their electric discharges can harm or kill tank mates. Important remarks include the need for caution during tank maintenance and the use of insulated tools to avoid being shocked.",24–28 degrees celsius,"The Electric Catfish is a specialized predator capable of delivering a strong electric shock to stun prey or defend itself. For proper care, they require a minimum of 55 to 100 gallons and are best kept in a species-only aquarium. They are generally not compatible with other fish, as their electric discharges can harm or kill tank mates. Important remarks include the need for caution during tank maintenance and the use of insulated tools to avoid being shocked.",6.5 - 7.5,55 – 100+ gallons,"25.0-40.0 cm / 9.8-15.7""","Aggressive: Best kept in a species-only tank or with very large, fast fish; they can deliver a painful electric shock.",
Black lancer catfish,Bagrichthys macracanthus,,"The Black Lancer is an elegant, dark-bodied catfish with a very tall dorsal fin and long filaments. Their care involves at least 30 to 50 gallons and a setup with plenty of driftwood to provide the acidic, tannin-rich water they prefer. They are compatible with peaceful community fish but can be very shy. Notable remarks include their nocturnal nature and their preference for high-quality frozen foods like bloodworms.",24–28 degrees celsius,"The Black Lancer is an elegant, dark-bodied catfish with a very tall dorsal fin and long filaments. Their care involves at least 30 to 50 gallons and a setup with plenty of driftwood to provide the acidic, tannin-rich water they prefer. They are compatible with peaceful community fish but can be very shy. Notable remarks include their nocturnal nature and their preference for high-quality frozen foods like bloodworms.",6.0 - 7.5,55 – 75 gallons,"15.0-20.0 cm / 5.9-7.9""",Compatible with peaceful Asian community fish; they are shy and need plenty of caves and low lighting.,https://en.wikipedia.org//wiki/Bagrichthys_macracanthus
Harlequin lancer catfish,Bagroides melapterus,,"The Harlequin Lancer is a rarer relative of the black lancer, often featuring more intricate markings and a similarly striking silhouette. Proper care requires a minimum of 50 gallons and very stable water conditions. They are compatible with medium-sized community fish but should not be housed with overly aggressive species. A key remark is their sensitivity to poor water quality, requiring diligent filtration and frequent water changes.",22–26 degrees celsius,"The Harlequin Lancer is a rarer relative of the black lancer, often featuring more intricate markings and a similarly striking silhouette. Proper care requires a minimum of 50 gallons and very stable water conditions. They are compatible with medium-sized community fish but should not be housed with overly aggressive species. A key remark is their sensitivity to poor water quality, requiring diligent filtration and frequent water changes.",6.0 - 7.2,55 – 75 gallons,"10.0-15.0 cm / 3.9-5.9""",Compatible with Rosy Barbs or Danios; they are peaceful but slightly more active than the standard Black Lancer.,
